category,folder_name,movie_name,year,relative_path,parse_status,note
原盘压缩（外语）,碟中谍.1996.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD.5.1.x265-beAst,碟中谍,1996,原盘压缩（外语）/碟中谍.1996.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD.5.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍2.2000.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD.5.1.x265-beAst,碟中谍2,2000,原盘压缩（外语）/碟中谍2.2000.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD.5.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍3.2006.UHD.BluRay.2160p.10bit.DoVi.5Audio.TrueHD.5.1.x265-beAst,碟中谍3,2006,原盘压缩（外语）/碟中谍3.2006.UHD.BluRay.2160p.10bit.DoVi.5Audio.TrueHD.5.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍4.幽灵协议.2011.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD.7.1.x265-beAst,碟中谍4 幽灵协议,2011,原盘压缩（外语）/碟中谍4.幽灵协议.2011.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD.7.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍5.神秘国度.2015.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD(Atmos).7.1.x265-beAst,碟中谍5 神秘国度,2015,原盘压缩（外语）/碟中谍5.神秘国度.2015.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍6.全面瓦解.2018.IMAX.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst,碟中谍6 全面瓦解,2018,原盘压缩（外语）/碟中谍6.全面瓦解.2018.IMAX.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍7.致命清算（上）.2023.UHD.BluRay.2160p.10bit.DoVi.2Audio.TrueHD(Atmos).7.1.x265-beAst,碟中谍7 致命清算（上）,2023,原盘压缩（外语）/碟中谍7.致命清算（上）.2023.UHD.BluRay.2160p.10bit.DoVi.2Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,碟中谍8.最终清算.2025.UHD.BluRay.2160p.x265.DV.HDR.TrueHD7.1.Atmos.Untrimmed.mUHD-FRDS,碟中谍8 最终清算,2025,原盘压缩（外语）/碟中谍8.最终清算.2025.UHD.BluRay.2160p.x265.DV.HDR.TrueHD7.1.Atmos.Untrimmed.mUHD-FRDS,OK,
原盘压缩（外语）,碟中谍8.最终清算.IMAX.2025.USA.UHD.BluRay.2160p.x265.10bit.DoVi.HDR.TrueHD.7.1.2Audios-CMCT.2Audios-CMCT,碟中谍8 最终清算,2025,原盘压缩（外语）/碟中谍8.最终清算.IMAX.2025.USA.UHD.BluRay.2160p.x265.10bit.DoVi.HDR.TrueHD.7.1.2Audios-CMCT.2Audios-CMCT,OK,
原盘压缩（外语）,祝你好运.里奥.格兰德.2022.1080p.BluRay.x264-SCARE,祝你好运 里奥 格兰德,2022,原盘压缩（外语）/祝你好运.里奥.格兰德.2022.1080p.BluRay.x264-SCARE,OK,
原盘压缩（外语）,神奇4侠.初露锋芒.2025.UHD.BluRay.2160p.x265.10bit.DV.HDR.TrueHD7.1.Atmos.mUHD-FRDS,神奇4侠 初露锋芒,2025,原盘压缩（外语）/神奇4侠.初露锋芒.2025.UHD.BluRay.2160p.x265.10bit.DV.HDR.TrueHD7.1.Atmos.mUHD-FRDS,OK,
原盘压缩（外语）,神奇动物.格林德沃之罪.2018.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD(Atmos).7.1.x265-beAst,神奇动物 格林德沃之罪,2018,原盘压缩（外语）/神奇动物.格林德沃之罪.2018.UHD.BluRay.2160p.10bit.DoVi.4Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,神奇动物.邓布利多之谜.2022.UHD.BluRay.2160p.10bit.DoVi.2Audio.TrueHD(Atmos).7.1.x265-beAst,神奇动物 邓布利多之谜,2022,原盘压缩（外语）/神奇动物.邓布利多之谜.2022.UHD.BluRay.2160p.10bit.DoVi.2Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,神奇动物在哪里.2016.UHD.BluRay.2160p.10bit.DV.2Audio.TrueHD(Atmos).7.1.x265-beAst,神奇动物在哪里,2016,原盘压缩（外语）/神奇动物在哪里.2016.UHD.BluRay.2160p.10bit.DV.2Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,神探夏洛克.可恶的新娘.2016.1080p.BluRay.x265.TrueHD.7.1.cXcY@FRDS,神探夏洛克 可恶的新娘,2016,原盘压缩（外语）/神探夏洛克.可恶的新娘.2016.1080p.BluRay.x265.TrueHD.7.1.cXcY@FRDS,OK,
原盘压缩（外语）,神秘海域.2022.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-VIRGINDRAKE,神秘海域,2022,原盘压缩（外语）/神秘海域.2022.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-VIRGINDRAKE,OK,
原盘压缩（外语）,禁闭岛.2010.2160p.UHD.BluRay.10bit.HDR.DTS-HD MA.5.1.X265-IAMABLE,禁闭岛,2010,原盘压缩（外语）/禁闭岛.2010.2160p.UHD.BluRay.10bit.HDR.DTS-HD MA.5.1.X265-IAMABLE,OK,
原盘压缩（外语）,秘密特工.2015.BluRay.2160p.TrueHD7.1.DoVi.HDR.x265.10bit-DreamHD,秘密特工,2015,原盘压缩（外语）/秘密特工.2015.BluRay.2160p.TrueHD7.1.DoVi.HDR.x265.10bit-DreamHD,OK,
原盘压缩（外语）,空中大灌篮.1996.UHD.BluRay.2160p.x265.DV.HDR.TrueHD7.1.Atmos.mUHD-FRDS,空中大灌篮,1996,原盘压缩（外语）/空中大灌篮.1996.UHD.BluRay.2160p.x265.DV.HDR.TrueHD7.1.Atmos.mUHD-FRDS,OK,
原盘压缩（外语）,空中营救.2014.1080p.BluRay.x264.DTS-WiKi,空中营救,2014,原盘压缩（外语）/空中营救.2014.1080p.BluRay.x264.DTS-WiKi,OK,
原盘压缩（外语）,穿靴子的猫.2011.2160p.HDR.UHD.BluRay.DTS-X.7.1.3Audio.x265.10bit-BATHD,穿靴子的猫,2011,原盘压缩（外语）/穿靴子的猫.2011.2160p.HDR.UHD.BluRay.DTS-X.7.1.3Audio.x265.10bit-BATHD,OK,
原盘压缩（外语）,穿靴子的猫.2022.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-SONYHD,穿靴子的猫,2022,原盘压缩（外语）/穿靴子的猫.2022.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-SONYHD,OK,
原盘压缩（外语）,突袭.2011.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst,突袭,2011,原盘压缩（外语）/突袭.2011.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst,OK,
原盘压缩（外语）,第一滴血.1982.2160p.UHD.BluRay.X265.10bit.HDR.DTS-HD.MA.5.1-IAMABLE,第一滴血,1982,原盘压缩（外语）/第一滴血.1982.2160p.UHD.BluRay.X265.10bit.HDR.DTS-HD.MA.5.1-IAMABLE,OK,
原盘压缩（外语）,第九区.2009.1080p.BluRay.x264.DTS-FGT,第九区,2009,原盘压缩（外语）/第九区.2009.1080p.BluRay.x264.DTS-FGT,OK,
原盘压缩（外语）,第六感.1999.UHD.BluRay.2160p.x265.10bit.HDR.DTS-HD.MA.5.1.mUHD-FRDS,第六感,1999,原盘压缩（外语）/第六感.1999.UHD.BluRay.2160p.x265.10bit.HDR.DTS-HD.MA.5.1.mUHD-FRDS,OK,
原盘压缩（外语）,粉红豹.2006.1080p.BluRay.x264-CiNEFiLE,粉红豹,2006,原盘压缩（外语）/粉红豹.2006.1080p.BluRay.x264-CiNEFiLE,OK,
原盘压缩（外语）,粉红豹2.2009.1080p.BluRay.x264.DD5.1-FGT,粉红豹2,2009,原盘压缩（外语）/粉红豹2.2009.1080p.BluRay.x264.DD5.1-FGT,OK,
原盘压缩（外语）,精英部队.2007.1080p.BluRay.x264.DTS-HDChina,精英部队,2007,原盘压缩（外语）/精英部队.2007.1080p.BluRay.x264.DTS-HDChina,OK,
原盘压缩（外语）,精英部队2.大敌当前.2010.BluRay.1080p.DTS.x264-CHD,精英部队2 大敌当前,2010,原盘压缩（外语）/精英部队2.大敌当前.2010.BluRay.1080p.DTS.x264-CHD,OK,
原盘压缩（外语）,红色通缉令.2021.1080p.NF.WEB-DL.x265.10bit.HDR.DDP5.1.Atmos-TEPES,红色通缉令,2021,原盘压缩（外语）/红色通缉令.2021.1080p.NF.WEB-DL.x265.10bit.HDR.DDP5.1.Atmos-TEPES,OK,
原盘压缩（外语）,红辣椒.2006.UHD.BluRay.2160p.x265.10bit.DoVi.3Audio.mUHD-FRDS,红辣椒,2006,原盘压缩（外语）/红辣椒.2006.UHD.BluRay.2160p.x265.10bit.DoVi.3Audio.mUHD-FRDS,OK,
原盘压缩（外语）,红雀.2018.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-WhiteRhino,红雀,2018,原盘压缩（外语）/红雀.2018.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-WhiteRhino,OK,
原盘压缩（外语）,终结者.1984.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.DoVi-beAst,终结者,1984,原盘压缩（外语）/终结者.1984.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.DoVi-beAst,OK,
原盘压缩（外语）,终结者2.审判日.1991.Special.Edition.Bluray.1080p.x265.DTS-HD.MA.5.1.4Audios.GREENOTEA,终结者2 审判日,1991,原盘压缩（外语）/终结者2.审判日.1991.Special.Edition.Bluray.1080p.x265.DTS-HD.MA.5.1.4Audios.GREENOTEA,OK,
原盘压缩（外语）,终结者3.机器的觉醒.2003.BluRay.1080p.3Audio.TrueHD.5.1.x264-beAst,终结者3 机器的觉醒,2003,原盘压缩（外语）/终结者3.机器的觉醒.2003.BluRay.1080p.3Audio.TrueHD.5.1.x264-beAst,OK,
原盘压缩（外语）,终结者4.救世主.2009.HK.DC.BluRay.1080p.3Audio.DTS-HD.MA.5.1.x264-beAst,终结者4 救世主,2009,原盘压缩（外语）/终结者4.救世主.2009.HK.DC.BluRay.1080p.3Audio.DTS-HD.MA.5.1.x264-beAst,OK,
原盘压缩（外语）,终结者5.创世纪.2015.CHN.BluRay.1080p.2Audio.TrueHD(Atmos).7.1.x264-beAst,终结者5 创世纪,2015,原盘压缩（外语）/终结者5.创世纪.2015.CHN.BluRay.1080p.2Audio.TrueHD(Atmos).7.1.x264-beAst,OK,
